Latitude,longitude, GPSalt, BARalt, distlidar, fin
9.8738088608,-83.6647644043,675.7999877930,669.75,1,12.00
9.8738088608,-83.6647644043,675.7999877930,669.75,1,12.00
9.8738088608,-83.6647644043,675.7999877930,669.57,1,12.00
9.8738088608,-83.6647644043,675.7999877930,670.28,1,12.00
9.8738088608,-83.6647644043,675.7999877930,670.19,1,12.00
9.8738088608,-83.6647644043,675.7999877930,670.37,1,12.00
9.8738088608,-83.6647644043,675.7999877930,670.55,1,12.00
9.8738088608,-83.6647644043,675.7999877930,670.46,1,12.00
9.8738088608,-83.6647644043,675.7999877930,671.08,1,12.00
9.8738088608,-83.6647644043,675.7999877930,671.17,1,12.00
9.8738088608,-83.6647644043,675.7999877930,670.64,1,12.00
9.8738088608,-83.6647644043,675.7999877930,670.90,1,12.00
9.8738088608,-83.6647644043,675.7999877930,670.90,1,12.00
9.8738088608,-83.6647644043,675.7999877930,671.26,1,12.00
9.8738079071,-83.6647644043,675.5999755859,671.08,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.81,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.99,1,12.00
9.8738079071,-83.6647644043,675.5999755859,671.17,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.46,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.37,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.90,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.55,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.81,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.64,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.81,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.46,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.64,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.19,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.46,1,12.00
9.8738079071,-83.6647644043,675.5999755859,670.81,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.72,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.72,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.81,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.10,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.37,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.37,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.37,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.10,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.01,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.19,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.19,1,12.00
9.8738069534,-83.6647644043,675.7000122070,669.93,1,12.00
9.8738069534,-83.6647644043,675.7000122070,670.01,1,12.00
9.8738069534,-83.6647644043,675.7000122070,669.93,1,12.00
9.8738088608,-83.6647796631,675.7000122070,670.19,1,12.00
9.8738088608,-83.6647796631,675.7000122070,669.66,1,12.00
9.8738088608,-83.6647796631,675.7000122070,670.10,1,12.00
9.8738088608,-83.6647796631,675.7000122070,670.19,1,12.00
9.8738088608,-83.6647796631,675.7000122070,669.84,1,12.00
9.8738088608,-83.6647796631,675.7000122070,669.75,1,12.00
9.8738088608,-83.6647796631,675.7000122070,669.66,1,12.00
9.8738088608,-83.6647796631,675.7000122070,670.19,1,12.00
9.8738088608,-83.6647796631,675.7000122070,670.64,1,12.00
9.8738088608,-83.6647796631,675.7000122070,670.10,1,12.00
9.8738088608,-83.6647796631,675.7000122070,670.37,1,12.00
9.8738088608,-83.6647796631,675.7000122070,670.19,1,12.00
9.8738088608,-83.6647796631,675.7000122070,669.93,1,12.00
9.8738088608,-83.6647796631,675.7000122070,669.93,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.55,1,12.00
9.8738098145,-83.6647796631,675.9000244141,669.93,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.19,1,12.00
9.8738098145,-83.6647796631,675.9000244141,669.84,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.19,1,12.00
9.8738098145,-83.6647796631,675.9000244141,669.75,1,12.00
9.8738098145,-83.6647796631,675.9000244141,669.93,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.01,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.37,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.19,1,12.00
9.8738098145,-83.6647796631,675.9000244141,669.93,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.01,1,12.00
9.8738098145,-83.6647796631,675.9000244141,669.75,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.19,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.19,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.10,1,12.00
9.8738098145,-83.6647796631,675.9000244141,670.28,1,12.00
9.8738117218,-83.6647644043,676.0999755859,669.57,1,12.00
9.8738117218,-83.6647644043,676.0999755859,670.81,1,12.00
9.8738117218,-83.6647644043,676.0999755859,670.55,1,12.00
9.8738117218,-83.6647644043,676.0999755859,671.61,1,12.00
9.8738117218,-83.6647644043,676.0999755859,670.81,1,12.00
9.8738117218,-83.6647644043,676.0999755859,670.64,1,12.00
9.8738117218,-83.6647644043,676.0999755859,670.55,1011,12.00
9.8738117218,-83.6647644043,676.0999755859,669.66,398,12.00
9.8738107681,-83.6647644043,675.7000122070,669.13,212,12.00
9.8738107681,-83.6647644043,675.7000122070,668.77,145,12.00
9.8738107681,-83.6647644043,675.7000122070,668.06,114,12.00
9.8738107681,-83.6647644043,675.7000122070,667.70,100,12.00
9.8738107681,-83.6647644043,675.7000122070,667.35,86,12.00
9.8738107681,-83.6647644043,675.7000122070,667.97,76,12.00
9.8738107681,-83.6647644043,675.7000122070,667.08,64,12.00
9.8738107681,-83.6647644043,675.7000122070,666.99,60,12.00
9.8738107681,-83.6647644043,675.7000122070,666.73,54,12.00
9.8738107681,-83.6647644043,675.7000122070,667.17,48,12.00
9.8738107681,-83.6647644043,675.7000122070,667.17,40,12.00
9.8738107681,-83.6647644043,675.7000122070,666.55,28,12.00
9.8738107681,-83.6647644043,675.7000122070,666.46,29,12.00
9.8738107681,-83.6647644043,675.7000122070,666.28,49,12.00
9.8738107681,-83.6647644043,675.7000122070,666.46,30,12.00
9.8738107681,-83.6647644043,675.7000122070,666.55,20,12.00
9.8738107681,-83.6647644043,675.7000122070,666.11,13,12.00
9.8738117218,-83.6647644043,675.5000000000,665.93,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.55,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.02,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.28,9,12.00
9.8738117218,-83.6647644043,675.5000000000,666.28,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.11,4,12.00
9.8738117218,-83.6647644043,675.5000000000,666.37,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.28,7,12.00
9.8738117218,-83.6647644043,675.5000000000,666.02,5,12.00
9.8738117218,-83.6647644043,675.5000000000,665.84,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.02,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.11,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.64,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.11,18,12.00
9.8738117218,-83.6647644043,675.5000000000,666.20,22,12.00
9.8738117218,-83.6647644043,675.5000000000,666.20,5,12.00
9.8738117218,-83.6647644043,675.5000000000,666.55,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.46,4,12.00
9.8738117218,-83.6647644043,675.7999877930,666.46,12,12.00
9.8738117218,-83.6647644043,675.7999877930,666.46,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.37,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.28,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.37,8,12.00
9.8738117218,-83.6647644043,675.7999877930,666.20,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.11,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.20,8,12.00
9.8738117218,-83.6647644043,675.7999877930,665.93,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.55,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.11,4,12.00
9.8738117218,-83.6647644043,675.7999877930,666.20,5,12.00
9.8738117218,-83.6647644043,675.7999877930,665.75,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.28,9,12.00
9.8738117218,-83.6647644043,675.7999877930,665.93,5,12.00
9.8738117218,-83.6647644043,675.7999877930,666.55,13,12.00
9.8738136292,-83.6647644043,676.2000122070,666.73,5,12.00
9.8738136292,-83.6647644043,676.2000122070,666.46,5,12.00
9.8738136292,-83.6647644043,676.2000122070,666.28,8,12.00
9.8738136292,-83.6647644043,676.2000122070,666.11,5,12.00
9.8738136292,-83.6647644043,676.2000122070,666.37,5,12.00
9.8738136292,-83.6647644043,676.2000122070,665.93,5,12.00
9.8738136292,-83.6647644043,676.2000122070,666.20,5,12.00
9.8738136292,-83.6647644043,676.2000122070,666.02,5,12.00
9.8738136292,-83.6647644043,676.2000122070,665.66,12,12.00
9.8738136292,-83.6647644043,676.2000122070,666.73,9,12.00
9.8738136292,-83.6647644043,676.2000122070,666.46,8,12.00
9.8738136292,-83.6647644043,676.2000122070,666.11,5,12.00
9.8738136292,-83.6647644043,676.2000122070,666.02,5,12.00
9.8738136292,-83.6647644043,676.2000122070,666.64,5,12.00
9.8738136292,-83.6647644043,676.2000122070,665.93,5,12.00
9.8738136292,-83.6647644043,676.2000122070,666.20,5,12.00
9.8738126755,-83.6647644043,676.7000122070,666.20,12,12.00
9.8738126755,-83.6647644043,676.7000122070,666.46,5,12.00
9.8738126755,-83.6647644043,676.7000122070,665.84,5,12.00
9.8738126755,-83.6647644043,676.7000122070,665.93,5,12.00
